# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster23758	2	Q8LP17	GO:0016702; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; IEA:InterPro	Artocaprus_hirsutus|Arthir33348;Artocaprus_hirsutus|Arthir11287
cluster23759	2	O48659	GO:0008295; P:spermidine biosynthetic process; IEA:UniProtKB-UniPathway	Artocaprus_hirsutus|Arthir28465;Artocaprus_hirsutus|Arthir33733
cluster23760	2	N/A	N/A	Artocaprus_hirsutus|Arthir33362;Artocaprus_hirsutus|Arthir33364
cluster23761	2	C0HK14	GO:0030246; F:carbohydrate binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir41300;Artocaprus_hirsutus|Arthir14075
cluster23762	2	P49689	GO:0006412; P:translation; IEA:InterPro	Artocaprus_hirsutus|Arthir22;Artocaprus_hirsutus|Arthir19932
cluster23763	2	N/A	N/A	Artocaprus_hirsutus|Arthir34445;Artocaprus_hirsutus|Arthir14529
cluster23764	2	Q9SW48	GO:0005987; P:sucrose catabolic process; IBA:GO_Central	Artocaprus_hirsutus|Arthir26702;Artocaprus_hirsutus|Arthir8297
cluster23765	2	N/A	N/A	Artocaprus_hirsutus|Arthir24315;Artocaprus_hirsutus|Arthir6880
cluster23766	2	N/A	N/A	Artocaprus_hirsutus|Arthir16742;Artocaprus_hirsutus|Arthir2565
cluster23767	2	N/A	N/A	Artocaprus_hirsutus|Arthir39975;Artocaprus_hirsutus|Arthir25707
cluster23768	2	N/A	N/A	Artocaprus_hirsutus|Arthir39987;Artocaprus_hirsutus|Arthir33916
cluster23769	2	N/A	N/A	Artocaprus_hirsutus|Arthir45191;Artocaprus_hirsutus|Arthir28734
cluster23770	2	N/A	N/A	Artocaprus_hirsutus|Arthir22538;Artocaprus_hirsutus|Arthir19887
cluster23771	2	N/A	N/A	Artocaprus_hirsutus|Arthir2006;Artocaprus_hirsutus|Arthir7493
cluster23772	2	N/A	N/A	Artocaprus_hirsutus|Arthir27272;Artocaprus_hirsutus|Arthir21888
cluster23773	2	N/A	N/A	Artocaprus_hirsutus|Arthir19555;Artocaprus_hirsutus|Arthir34312
cluster23774	2	N/A	N/A	Artocaprus_hirsutus|Arthir8479;Artocaprus_hirsutus|Arthir38884
cluster23775	2	Q9ZR08	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir44698;Artocaprus_hirsutus|Arthir45590
cluster23776	2	P0C2F6	GO:0004523; F:RNA-DNA hybrid ribonuclease activity; IEA:UniProtKB-EC	Artocaprus_hirsutus|Arthir44744;Artocaprus_hirsutus|Arthir1764
cluster23777	2	N/A	N/A	Artocaprus_hirsutus|Arthir26627;Artocaprus_hirsutus|Arthir20140
cluster23778	2	Q94KE0	GO:0009414; P:response to water deprivation; IEP:TAIR	Artocaprus_hirsutus|Arthir11034;Artocaprus_hirsutus|Arthir12050
cluster23779	2	N/A	N/A	Artocaprus_hirsutus|Arthir8175;Artocaprus_hirsutus|Arthir6403
cluster23780	2	N/A	N/A	Artocaprus_hirsutus|Arthir18370;Artocaprus_hirsutus|Arthir5232
cluster23781	2	N/A	N/A	Artocaprus_hirsutus|Arthir43065;Artocaprus_hirsutus|Arthir12220
cluster23782	2	N/A	N/A	Artocaprus_hirsutus|Arthir7707;Artocaprus_hirsutus|Arthir39901
cluster23783	2	Q9ZVQ9	GO:0030246; F:carbohydrate binding; ISS:TAIR	Artocaprus_hirsutus|Arthir26466;Artocaprus_hirsutus|Arthir41407
cluster23784	2	N/A	N/A	Artocaprus_hirsutus|Arthir8871;Artocaprus_hirsutus|Arthir19807
cluster23785	2	N/A	N/A	Artocaprus_hirsutus|Arthir9263;Artocaprus_hirsutus|Arthir36477
cluster23786	2	N/A	N/A	Artocaprus_hirsutus|Arthir3528;Artocaprus_hirsutus|Arthir17451
cluster23787	2	N/A	N/A	Artocaprus_hirsutus|Arthir28799;Artocaprus_hirsutus|Arthir4760
cluster23788	2	Q9ZUT5	GO:0009451; P:RNA modification; IBA:GO_Central	Artocaprus_hirsutus|Arthir5925;Artocaprus_hirsutus|Arthir19078
cluster23789	2	Q9SZE7	GO:0009651; P:response to salt stress; IEP:TAIR	Artocaprus_hirsutus|Arthir19540;Artocaprus_hirsutus|Arthir19539
cluster23790	2	N/A	N/A	Artocaprus_hirsutus|Arthir7976;Artocaprus_hirsutus|Arthir9510
cluster23791	2	N/A	N/A	Artocaprus_hirsutus|Arthir4803;Artocaprus_hirsutus|Arthir7359
cluster23792	2	N/A	N/A	Artocaprus_hirsutus|Arthir22784;Artocaprus_hirsutus|Arthir429
cluster23793	2	N/A	N/A	Artocaprus_hirsutus|Arthir22751;Artocaprus_hirsutus|Arthir13929
cluster23794	2	O48723	GO:0046686; P:response to cadmium ion; IEP:TAIR	Artocaprus_hirsutus|Arthir12344;Artocaprus_hirsutus|Arthir3901
cluster23795	2	O48920	GO:0016192; P:vesicle-mediated transport; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir28841;Artocaprus_hirsutus|Arthir30831
cluster23796	2	N/A	N/A	Artocaprus_hirsutus|Arthir40142;Artocaprus_hirsutus|Arthir39189
cluster23797	2	Q50EK3	GO:0016705; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; IEA:InterPro	Artocaprus_hirsutus|Arthir28094;Artocaprus_hirsutus|Arthir19201
cluster23798	2	O64771	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir3970;Artocaprus_hirsutus|Arthir24573
cluster23799	2	Q40392	GO:0007165; P:signal transduction; IEA:InterPro	Artocaprus_hirsutus|Arthir38062;Artocaprus_hirsutus|Arthir25194
cluster23800	2	P29059	GO:0000272; P:polysaccharide catabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir15627;Artocaprus_hirsutus|Arthir19446
cluster23801	2	Q6EI06	GO:0009740; P:gibberellic acid mediated signaling pathway; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir34530;Artocaprus_hirsutus|Arthir34529
cluster23802	2	N/A	N/A	Artocaprus_hirsutus|Arthir11197;Artocaprus_hirsutus|Arthir28597
cluster23803	2	N/A	N/A	Artocaprus_hirsutus|Arthir14997;Artocaprus_hirsutus|Arthir38686
cluster23804	2	N/A	N/A	Artocaprus_hirsutus|Arthir20664;Artocaprus_hirsutus|Arthir16637
cluster23805	2	N/A	N/A	Artocaprus_hirsutus|Arthir39289;Artocaprus_hirsutus|Arthir36313
cluster23806	2	N/A	N/A	Artocaprus_hirsutus|Arthir41928;Artocaprus_hirsutus|Arthir41929
cluster23807	2	N/A	N/A	Artocaprus_hirsutus|Arthir35855;Artocaprus_hirsutus|Arthir30353
cluster23808	2	N/A	N/A	Artocaprus_hirsutus|Arthir2110;Artocaprus_hirsutus|Arthir2168
cluster23809	2	N/A	N/A	Artocaprus_hirsutus|Arthir39813;Artocaprus_hirsutus|Arthir43628
cluster23810	2	Q43383	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir3794;Artocaprus_hirsutus|Arthir31383
cluster23811	2	N/A	N/A	Artocaprus_hirsutus|Arthir15256;Artocaprus_hirsutus|Arthir41972
cluster23812	2	N/A	N/A	Artocaprus_hirsutus|Arthir3694;Artocaprus_hirsutus|Arthir28916
cluster23813	2	Q8H0T6	GO:0015713; P:phosphoglycerate transmembrane transport; IDA:UniProtKB	Artocaprus_hirsutus|Arthir30199;Artocaprus_hirsutus|Arthir20103
cluster23814	2	Q307Y9	GO:0006556; P:S-adenosylmethionine biosynthetic process; IEA:UniProtKB-UniPathway	Artocaprus_hirsutus|Arthir18634;Artocaprus_hirsutus|Arthir30881
cluster23815	2	N/A	N/A	Artocaprus_hirsutus|Arthir33529;Artocaprus_hirsutus|Arthir33528
cluster23816	2	N/A	N/A	Artocaprus_hirsutus|Arthir7121;Artocaprus_hirsutus|Arthir25139
cluster23817	2	D9HP23	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir42248;Artocaprus_hirsutus|Arthir22295
cluster23818	2	N/A	N/A	Artocaprus_hirsutus|Arthir42946;Artocaprus_hirsutus|Arthir26859
cluster23819	2	N/A	N/A	Artocaprus_hirsutus|Arthir17492;Artocaprus_hirsutus|Arthir6604
cluster23820	2	N/A	N/A	Artocaprus_hirsutus|Arthir23932;Artocaprus_hirsutus|Arthir42979
cluster23821	2	N/A	N/A	Artocaprus_hirsutus|Arthir42179;Artocaprus_hirsutus|Arthir17382
cluster23822	2	N/A	N/A	Artocaprus_hirsutus|Arthir15360;Artocaprus_hirsutus|Arthir14794
cluster23823	2	N/A	N/A	Artocaprus_hirsutus|Arthir1709;Artocaprus_hirsutus|Arthir22220
cluster23824	2	N/A	N/A	Artocaprus_hirsutus|Arthir33378;Artocaprus_hirsutus|Arthir35329
cluster23825	2	N/A	N/A	Artocaprus_hirsutus|Arthir28329;Artocaprus_hirsutus|Arthir17556
cluster23826	2	P13603	GO:0008270; F:zinc ion binding; IEA:InterPro	Artocaprus_hirsutus|Arthir10790;Artocaprus_hirsutus|Arthir3961
cluster23827	2	N/A	N/A	Artocaprus_hirsutus|Arthir39443;Artocaprus_hirsutus|Arthir5551
cluster23828	2	N/A	N/A	Artocaprus_hirsutus|Arthir43551;Artocaprus_hirsutus|Arthir6731
cluster23829	2	N/A	N/A	Artocaprus_hirsutus|Arthir35530;Artocaprus_hirsutus|Arthir3432
cluster23830	2	N/A	N/A	Artocaprus_hirsutus|Arthir18152;Artocaprus_hirsutus|Arthir4993
cluster23831	2	N/A	N/A	Artocaprus_hirsutus|Arthir35733;Artocaprus_hirsutus|Arthir7540
cluster23832	2	Q9FF29	GO:0009620; P:response to fungus; ISS:TAIR	Artocaprus_hirsutus|Arthir14345;Artocaprus_hirsutus|Arthir45906
cluster23833	2	N/A	N/A	Artocaprus_hirsutus|Arthir16105;Artocaprus_hirsutus|Arthir40862
cluster23834	2	N/A	N/A	Artocaprus_hirsutus|Arthir36669;Artocaprus_hirsutus|Arthir6384
cluster23835	2	N/A	N/A	Artocaprus_hirsutus|Arthir12272;Artocaprus_hirsutus|Arthir32769
cluster23836	2	Q96PP9	GO:0071346; P:cellular response to interferon-gamma; IEP:UniProtKB	Artocaprus_hirsutus|Arthir10275;Artocaprus_hirsutus|Arthir34933
cluster23837	2	Q94FT4	GO:0009820; P:alkaloid metabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir34140;Artocaprus_hirsutus|Arthir14306
cluster23838	2	N/A	N/A	Artocaprus_hirsutus|Arthir15990;Artocaprus_hirsutus|Arthir33774
cluster23839	2	N/A	N/A	Artocaprus_hirsutus|Arthir7281;Artocaprus_hirsutus|Arthir25693
cluster23840	2	Q94A02	GO:0048367; P:shoot system development; IGI:TAIR	Artocaprus_hirsutus|Arthir15148;Artocaprus_hirsutus|Arthir35363
cluster23841	2	O64882	GO:0005975; P:carbohydrate metabolic process; IEA:InterPro	Artocaprus_hirsutus|Arthir25974;Artocaprus_hirsutus|Arthir5352
cluster23842	2	N/A	N/A	Artocaprus_hirsutus|Arthir819;Artocaprus_hirsutus|Arthir1032
cluster23843	2	N/A	N/A	Artocaprus_hirsutus|Arthir41636;Artocaprus_hirsutus|Arthir43383
cluster23844	2	N/A	N/A	Artocaprus_hirsutus|Arthir29870;Artocaprus_hirsutus|Arthir29869
cluster23845	2	N/A	N/A	Artocaprus_hirsutus|Arthir23385;Artocaprus_hirsutus|Arthir42846
cluster23846	2	N/A	N/A	Artocaprus_hirsutus|Arthir18846;Artocaprus_hirsutus|Arthir38840
cluster23847	2	N/A	N/A	Artocaprus_hirsutus|Arthir25711;Artocaprus_hirsutus|Arthir39978
cluster23848	2	Q9C550	GO:0009098; P:leucine biosynthetic process; IDA:TAIR	Artocaprus_hirsutus|Arthir28290;Artocaprus_hirsutus|Arthir24216
cluster23849	2	N/A	N/A	Artocaprus_hirsutus|Arthir43907;Artocaprus_hirsutus|Arthir26314
cluster23850	2	N/A	N/A	Artocaprus_hirsutus|Arthir45174;Artocaprus_hirsutus|Arthir43385
cluster23851	2	N/A	N/A	Artocaprus_hirsutus|Arthir45803;Artocaprus_hirsutus|Arthir42097
cluster23852	2	Q6ENC9	GO:0009507; C:chloroplast; IEA:UniProtKB-SubCell	Artocaprus_hirsutus|Arthir39922;Artocaprus_hirsutus|Arthir33100
cluster23853	2	N/A	N/A	Artocaprus_hirsutus|Arthir18077;Artocaprus_hirsutus|Arthir38427
cluster23854	2	N/A	N/A	Artocaprus_hirsutus|Arthir8322;Artocaprus_hirsutus|Arthir4723
cluster23855	2	Q93ZR6	GO:0010025; P:wax biosynthetic process; IMP:TAIR	Artocaprus_hirsutus|Arthir4335;Artocaprus_hirsutus|Arthir21584
cluster23856	2	N/A	N/A	Artocaprus_hirsutus|Arthir23820;Artocaprus_hirsutus|Arthir23819
cluster23857	2	Q9M2N5	GO:0009791; P:post-embryonic development; IMP:TAIR	Artocaprus_hirsutus|Arthir28006;Artocaprus_hirsutus|Arthir11903
cluster23858	2	N/A	N/A	Artocaprus_hirsutus|Arthir22221;Artocaprus_hirsutus|Arthir1710
cluster23859	2	N/A	N/A	Artocaprus_hirsutus|Arthir12843;Artocaprus_hirsutus|Arthir10406
cluster23860	2	N/A	N/A	Artocaprus_hirsutus|Arthir20177;Artocaprus_hirsutus|Arthir23623
cluster23861	2	N/A	N/A	Artocaprus_hirsutus|Arthir1847;Artocaprus_hirsutus|Arthir35555
cluster23862	2	Q6RVV4	GO:0015031; P:protein transport; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir41846;Artocaprus_hirsutus|Arthir18231
cluster23863	2	N/A	N/A	Artocaprus_hirsutus|Arthir12289;Artocaprus_hirsutus|Arthir5905
cluster23864	2	Q9LRR9	GO:0009735; P:response to cytokinin; IDA:TAIR	Artocaprus_hirsutus|Arthir358;Artocaprus_hirsutus|Arthir9033
cluster23865	2	N/A	N/A	Artocaprus_hirsutus|Arthir12006;Artocaprus_hirsutus|Arthir40230
cluster23866	2	O50001	GO:0009607; P:response to biotic stimulus; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir9852;Artocaprus_hirsutus|Arthir13466
cluster23867	2	Q8LPW4	GO:0016042; P:lipid catabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir17328;Artocaprus_hirsutus|Arthir38784
cluster23868	2	N/A	N/A	Artocaprus_hirsutus|Arthir24039;Artocaprus_hirsutus|Arthir12622
cluster23869	2	N/A	N/A	Artocaprus_hirsutus|Arthir16756;Artocaprus_hirsutus|Arthir19129
cluster23870	2	N/A	N/A	Artocaprus_hirsutus|Arthir21646;Artocaprus_hirsutus|Arthir21549
cluster23871	2	N/A	N/A	Artocaprus_hirsutus|Arthir17769;Artocaprus_hirsutus|Arthir32061
cluster23872	2	N/A	N/A	Artocaprus_hirsutus|Arthir22482;Artocaprus_hirsutus|Arthir22485
cluster23873	2	N/A	N/A	Artocaprus_hirsutus|Arthir22638;Artocaprus_hirsutus|Arthir3365
cluster23874	2	Q9LPI5	GO:0003723; F:RNA binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir4019;Artocaprus_hirsutus|Arthir28411
cluster23875	2	N/A	N/A	Artocaprus_hirsutus|Arthir32394;Artocaprus_hirsutus|Arthir7059
cluster23876	2	Q9FVN0	GO:0015696; P:ammonium transport; IGI:UniProtKB	Artocaprus_hirsutus|Arthir46065;Artocaprus_hirsutus|Arthir31635
cluster23877	2	N/A	N/A	Artocaprus_hirsutus|Arthir35901;Artocaprus_hirsutus|Arthir35737
cluster23878	2	N/A	N/A	Artocaprus_hirsutus|Arthir34229;Artocaprus_hirsutus|Arthir4221
cluster23879	2	P35336	GO:0009835; P:fruit ripening; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir46235;Artocaprus_hirsutus|Arthir26197
cluster23880	2	N/A	N/A	Artocaprus_hirsutus|Arthir9726;Artocaprus_hirsutus|Arthir5722
cluster23881	2	Q9SZ46	GO:0106146; P:sideretin biosynthesis; IDA:TAIR	Artocaprus_hirsutus|Arthir42994;Artocaprus_hirsutus|Arthir42993
cluster23882	2	Q5PP62	GO:0080040; P:positive regulation of cellular response to phosphate starvation; IMP:TAIR	Artocaprus_hirsutus|Arthir46138;Artocaprus_hirsutus|Arthir35373
cluster23883	2	N/A	N/A	Artocaprus_hirsutus|Arthir11311;Artocaprus_hirsutus|Arthir10368
cluster23884	2	N/A	N/A	Artocaprus_hirsutus|Arthir7405;Artocaprus_hirsutus|Arthir43296
cluster23885	2	Q9ZV04	GO:0006979; P:response to oxidative stress; IEA:InterPro	Artocaprus_hirsutus|Arthir2236;Artocaprus_hirsutus|Arthir8749
cluster23886	2	Q6R0C4	GO:0009414; P:response to water deprivation; IMP:UniProtKB	Artocaprus_hirsutus|Arthir30947;Artocaprus_hirsutus|Arthir29101
cluster23887	2	Q9LRR4	GO:0006952; P:defense response; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir4666;Artocaprus_hirsutus|Arthir4662
cluster23888	2	N/A	N/A	Artocaprus_hirsutus|Arthir35811;Artocaprus_hirsutus|Arthir16066
cluster23889	2	N/A	N/A	Artocaprus_hirsutus|Arthir9989;Artocaprus_hirsutus|Arthir15241
cluster23890	2	N/A	N/A	Artocaprus_hirsutus|Arthir27588;Artocaprus_hirsutus|Arthir5505
cluster23891	2	N/A	N/A	Artocaprus_hirsutus|Arthir23657;Artocaprus_hirsutus|Arthir7354
cluster23892	2	N/A	N/A	Artocaprus_hirsutus|Arthir37453;Artocaprus_hirsutus|Arthir37452
cluster23893	2	N/A	N/A	Artocaprus_hirsutus|Arthir11366;Artocaprus_hirsutus|Arthir43960
cluster23894	2	N/A	N/A	Artocaprus_hirsutus|Arthir28766;Artocaprus_hirsutus|Arthir13720
cluster23895	2	F4JNA9	GO:0007165; P:signal transduction; IEA:InterPro	Artocaprus_hirsutus|Arthir7172;Artocaprus_hirsutus|Arthir7174
cluster23896	2	N/A	N/A	Artocaprus_hirsutus|Arthir22570;Artocaprus_hirsutus|Arthir7028
cluster23897	2	Q2V6J9	GO:0102425; F:myricetin 3-O-glucosyltransferase activity; IEA:UniProtKB-EC	Artocaprus_hirsutus|Arthir42140;Artocaprus_hirsutus|Arthir31970
cluster23898	2	N/A	N/A	Artocaprus_hirsutus|Arthir39380;Artocaprus_hirsutus|Arthir21524
cluster23899	2	N/A	N/A	Artocaprus_hirsutus|Arthir29040;Artocaprus_hirsutus|Arthir19127
cluster23900	2	N/A	N/A	Artocaprus_hirsutus|Arthir36588;Artocaprus_hirsutus|Arthir36589
cluster23901	2	N/A	N/A	Artocaprus_hirsutus|Arthir16209;Artocaprus_hirsutus|Arthir9599
cluster23902	2	Q6R0C4	GO:0009414; P:response to water deprivation; IMP:UniProtKB	Artocaprus_hirsutus|Arthir46212;Artocaprus_hirsutus|Arthir11598
cluster23903	2	P24076	GO:0009611; P:response to wounding; IEA:InterPro	Artocaprus_hirsutus|Arthir2477;Artocaprus_hirsutus|Arthir42055
cluster23904	2	N/A	N/A	Artocaprus_hirsutus|Arthir31089;Artocaprus_hirsutus|Arthir31092
cluster23905	2	P81712	GO:0009611; P:response to wounding; IEA:InterPro	Artocaprus_hirsutus|Arthir28261;Artocaprus_hirsutus|Arthir12157
cluster23906	2	N/A	N/A	Artocaprus_hirsutus|Arthir38857;Artocaprus_hirsutus|Arthir646
cluster23907	2	P0C8Q2	GO:0009451; P:RNA modification; IBA:GO_Central	Artocaprus_hirsutus|Arthir24565;Artocaprus_hirsutus|Arthir4259
cluster23908	2	N/A	N/A	Artocaprus_hirsutus|Arthir30534;Artocaprus_hirsutus|Arthir24124
cluster23909	2	N/A	N/A	Artocaprus_hirsutus|Arthir22947;Artocaprus_hirsutus|Arthir31180
cluster23910	2	N/A	N/A	Artocaprus_hirsutus|Arthir31802;Artocaprus_hirsutus|Arthir24417
cluster23911	2	Q94A97	GO:0006511; P:ubiquitin-dependent protein catabolic process; IDA:TAIR	Artocaprus_hirsutus|Arthir26388;Artocaprus_hirsutus|Arthir20569
cluster23912	2	Q9ZPE4	GO:0006511; P:ubiquitin-dependent protein catabolic process; IDA:TAIR	Artocaprus_hirsutus|Arthir11722;Artocaprus_hirsutus|Arthir1354
cluster23913	2	Q9M667	GO:0009626; P:plant-type hypersensitive response; IMP:TAIR	Artocaprus_hirsutus|Arthir16773;Artocaprus_hirsutus|Arthir28674
cluster23914	2	P43311	GO:0046148; P:pigment biosynthetic process; IEA:InterPro	Artocaprus_hirsutus|Arthir1435;Artocaprus_hirsutus|Arthir39548
cluster23915	2	Q8LPS2	GO:0009615; P:response to virus; IEP:TAIR	Artocaprus_hirsutus|Arthir3475;Artocaprus_hirsutus|Arthir6435
cluster23916	2	N/A	N/A	Artocaprus_hirsutus|Arthir36784;Artocaprus_hirsutus|Arthir36783
cluster23917	2	Q9AXJ4	GO:0006452; P:translational frameshifting; IEA:InterPro	Artocaprus_hirsutus|Arthir6382;Artocaprus_hirsutus|Arthir6086
cluster23918	2	N/A	N/A	Artocaprus_hirsutus|Arthir35195;Artocaprus_hirsutus|Arthir3544
cluster23919	2	N/A	N/A	Artocaprus_hirsutus|Arthir37655;Artocaprus_hirsutus|Arthir3297
cluster23920	2	N/A	N/A	Artocaprus_hirsutus|Arthir9082;Artocaprus_hirsutus|Arthir24741
cluster23921	2	Q9FLN0	GO:0009627; P:systemic acquired resistance; IMP:UniProtKB	Artocaprus_hirsutus|Arthir23841;Artocaprus_hirsutus|Arthir43179
cluster23922	2	N/A	N/A	Artocaprus_hirsutus|Arthir942;Artocaprus_hirsutus|Arthir3869
cluster23923	2	N/A	N/A	Artocaprus_hirsutus|Arthir17579;Artocaprus_hirsutus|Arthir1750
cluster23924	2	N/A	N/A	Artocaprus_hirsutus|Arthir34038;Artocaprus_hirsutus|Arthir14016
cluster23925	2	P62785	GO:0009414; P:response to water deprivation; IEA:EnsemblPlants	Artocaprus_hirsutus|Arthir14427;Artocaprus_hirsutus|Arthir23752
cluster23926	2	N/A	N/A	Artocaprus_hirsutus|Arthir12335;Artocaprus_hirsutus|Arthir10600
cluster23927	2	Q9LI74	GO:0009902; P:chloroplast relocation; IMP:TAIR	Artocaprus_hirsutus|Arthir12541;Artocaprus_hirsutus|Arthir39248
cluster23928	2	N/A	N/A	Artocaprus_hirsutus|Arthir18831;Artocaprus_hirsutus|Arthir24250
cluster23929	2	N/A	N/A	Artocaprus_hirsutus|Arthir7010;Artocaprus_hirsutus|Arthir25572
cluster23930	2	N/A	N/A	Artocaprus_hirsutus|Arthir36497;Artocaprus_hirsutus|Arthir29392
cluster23931	2	N/A	N/A	Artocaprus_hirsutus|Arthir2694;Artocaprus_hirsutus|Arthir17517
cluster23932	2	Q8VZG2	GO:0009863; P:salicylic acid mediated signaling pathway; IMP:TAIR	Artocaprus_hirsutus|Arthir16558;Artocaprus_hirsutus|Arthir4779
cluster23933	2	O23181	GO:0009737; P:response to abscisic acid; IDA:TAIR	Artocaprus_hirsutus|Arthir12342;Artocaprus_hirsutus|Arthir37238
cluster23934	2	N/A	N/A	Artocaprus_hirsutus|Arthir5018;Artocaprus_hirsutus|Arthir35306
cluster23935	2	N/A	N/A	Artocaprus_hirsutus|Arthir7053;Artocaprus_hirsutus|Arthir21014
cluster23936	2	Q9SZL8	GO:0006355; P:regulation of transcription, DNA-templated; IEA:InterPro	Artocaprus_hirsutus|Arthir12640;Artocaprus_hirsutus|Arthir44377
cluster23937	2	Q39265	GO:0010026; P:trichome differentiation; IMP:TAIR	Artocaprus_hirsutus|Arthir14241;Artocaprus_hirsutus|Arthir21276
cluster23938	2	Q9ZVH8	GO:0006351; P:transcription, DNA-templated; IEA:InterPro	Artocaprus_hirsutus|Arthir38785;Artocaprus_hirsutus|Arthir33290
cluster23939	2	Q9M2U5	GO:0010262; P:somatic embryogenesis; IEP:TAIR	Artocaprus_hirsutus|Arthir31127;Artocaprus_hirsutus|Arthir28528
cluster23940	2	N/A	N/A	Artocaprus_hirsutus|Arthir26258;Artocaprus_hirsutus|Arthir37700
cluster23941	2	N/A	N/A	Artocaprus_hirsutus|Arthir15730;Artocaprus_hirsutus|Arthir36471
cluster23942	2	Q9SGH6	GO:0009627; P:systemic acquired resistance; IMP:UniProtKB	Artocaprus_hirsutus|Arthir12128;Artocaprus_hirsutus|Arthir241
cluster23943	2	N/A	N/A	Artocaprus_hirsutus|Arthir21980;Artocaprus_hirsutus|Arthir41784
cluster23944	2	F4I8U3	GO:0003677; F:DNA binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir5657;Artocaprus_hirsutus|Arthir13930
cluster23945	2	Q9ZNS0	GO:0010311; P:lateral root formation; IMP:CACAO	Artocaprus_hirsutus|Arthir38651;Artocaprus_hirsutus|Arthir20554
cluster23946	2	N/A	N/A	Artocaprus_hirsutus|Arthir33443;Artocaprus_hirsutus|Arthir36535
cluster23947	2	N/A	N/A	Artocaprus_hirsutus|Arthir43634;Artocaprus_hirsutus|Arthir38869
cluster23948	2	N/A	N/A	Artocaprus_hirsutus|Arthir20926;Artocaprus_hirsutus|Arthir34591
cluster23949	2	P81395	GO:0003677; F:DNA binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir486;Artocaprus_hirsutus|Arthir21380
cluster23950	2	N/A	N/A	Artocaprus_hirsutus|Arthir11523;Artocaprus_hirsutus|Arthir3348
cluster23951	2	N/A	N/A	Artocaprus_hirsutus|Arthir12562;Artocaprus_hirsutus|Arthir2783
cluster23952	2	N/A	N/A	Artocaprus_hirsutus|Arthir34446;Artocaprus_hirsutus|Arthir42830
cluster23953	2	N/A	N/A	Artocaprus_hirsutus|Arthir8374;Artocaprus_hirsutus|Arthir28067
cluster23954	2	N/A	N/A	Artocaprus_hirsutus|Arthir33199;Artocaprus_hirsutus|Arthir2076
cluster23955	2	O64477	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir24061;Artocaprus_hirsutus|Arthir44759
cluster23956	2	Q9FF29	GO:0009620; P:response to fungus; ISS:TAIR	Artocaprus_hirsutus|Arthir16757;Artocaprus_hirsutus|Arthir16755
cluster23957	2	N/A	N/A	Artocaprus_hirsutus|Arthir6534;Artocaprus_hirsutus|Arthir14889
cluster23958	2	N/A	N/A	Artocaprus_hirsutus|Arthir18532;Artocaprus_hirsutus|Arthir29132
cluster23959	2	O23553	GO:0005983; P:starch catabolic process; IDA:TAIR	Artocaprus_hirsutus|Arthir40965;Artocaprus_hirsutus|Arthir16472
cluster23960	2	N/A	N/A	Artocaprus_hirsutus|Arthir8934;Artocaprus_hirsutus|Arthir38928
cluster23961	2	N/A	N/A	Artocaprus_hirsutus|Arthir10089;Artocaprus_hirsutus|Arthir28548
cluster23962	2	N/A	N/A	Artocaprus_hirsutus|Arthir35686;Artocaprus_hirsutus|Arthir3776
cluster23963	2	N/A	N/A	Artocaprus_hirsutus|Arthir38239;Artocaprus_hirsutus|Arthir33061
cluster23964	2	Q9SIC4	GO:0006296; P:nucleotide-excision repair, DNA incision, 5'-to lesion; IBA:GO_Central	Artocaprus_hirsutus|Arthir10320;Artocaprus_hirsutus|Arthir21698
cluster23965	2	N/A	N/A	Artocaprus_hirsutus|Arthir25879;Artocaprus_hirsutus|Arthir41635
cluster23966	2	N/A	N/A	Artocaprus_hirsutus|Arthir10975;Artocaprus_hirsutus|Arthir10976
cluster23967	2	N/A	N/A	Artocaprus_hirsutus|Arthir1593;Artocaprus_hirsutus|Arthir28838
cluster23968	2	N/A	N/A	Artocaprus_hirsutus|Arthir18159;Artocaprus_hirsutus|Arthir42262
